Ticker,Name,Sector,Industry,Price,Market Cap,FCF Yield,Book-to-Market Ratio,Anti-Empire Builder,Margin Erosion Danger,Operating Leverage,Rev Growth,Gross Margin,ROIC,Insider Own,PEG,Z-Score,8-Quarter Margin,ROIC Velocity,Cyclical Check,Insider Buying,Phase 2 Decision
JBI,"Janus International Group, Inc.",Industrials,Building Products & Equipment,4.92,683182208,0.16686617225254202,0.8380081300813008,False,True,False,-0.02,0.3879212847771997,0.0857049092846516,0.05278,-6.4736845,2.1857334419876295,Fail,Fail,Pass,Pass,
III,"Information Services Group, Inc",Technology,Information Technology Services,3.96,189621056,0.13178388796653467,0.5005050505050505,True,False,False,0.059,0.4307038512616202,0.08768068233378644,0.27566,3.5325603389830516,2.134812075386065,Pass,Pass,Pass,Pass,
KELYB,"Kelly Services, Inc.",Industrials,Staffing & Employment Services,16.0,547384448,0.20844581978331983,1.7856875,False,True,False,-0.119,0.2006633889294032,-0.194190749875007,0.93563,-8.403361344537815,2.8876155712883698,Fail,Fail,Pass,Pass,
GSL,Global Ship Lease Inc New,Industrials,Marine Shipping,38.41,1379619712,0.2599382981271871,1.3056495704243687,False,True,False,0.033,0.5278386113564375,0.20548243734067273,0.1248,1.0282150303030302,2.2440472878685993,Fail,Pass,Fail (Peak),Pass,
CCRN,"Cross Country Healthcare, Inc.",Healthcare,Medical Care Facilities,9.18,296686048,0.1351260036333087,1.1086056644880173,False,True,False,-0.236,0.20257271934841642,-0.4266828938227524,0.06711,-4.237288135593221,4.123250172721839,Fail,Fail,Pass,Pass,
SILC,Silicom Ltd,Technology,Communication Equipment,22.18,126562232,0.13425016082206895,0.9283137962128043,False,False,False,0.167,0.30281133946125793,-0.20882303610198796,0.098129995,5.9880239520958085,5.389934159743838,Fail,Fail,Pass,Pass,
RGP,"Resources Connection, Inc.",Industrials,Consulting Services,3.68,123287928,0.19725370029740463,1.5782608695652174,False,True,False,-0.191,0.3799312861255992,-0.09282311333139272,0.10609,-5.2356020942408374,2.2245714744668033,Fail,Fail,Pass,Pass,
UTMD,"Utah Medical Products, Inc.",Healthcare,Medical Instruments & Supplies,63.12,202215776,0.07082038940423718,0.5930291508238277,False,True,False,-0.012,0.5711578400830737,0.2777663578478825,0.07181,-15.114941666666668,40.08980948582505,Fail,Fail,Pass,Pass,
AFYA,Afya Limited,Consumer Defensive,Education & Training Services,14.96,1356837760,0.8605126083755216,0.6997219919786096,True,False,True,0.075,0.6446295968225075,0.17265428743370842,0.66272,1.2545073333333332,1.5742082441082303,Pass,Pass,Pass,Pass,
FVRR,Fiverr International Ltd.,Communication Services,Internet Content & Information,10.03,360585792,0.2864255949385826,1.137986041874377,True,False,True,0.034,0.8157012269411871,0.0787147749580556,0.11935,5.267856764705882,1.179979496142645,Pass,Pass,Pass,Pass,
CYD,China Yuchai International Limi,Consumer Cyclical,Auto Manufacturers,39.41,1478597120,0.1583798567117458,0.8970527784826187,True,False,False,0.23,0.1473065540548486,0.10146709197385428,0.6888,0.8237876956521738,1.5370101779376903,Pass,Pass,Pass,Pass,
HEPS,D-Market Electronic Services & ,Consumer Cyclical,Internet Retail,2.7,976969600,6.947953139995349,0.9881481481481481,False,False,False,0.369,0.37325493065549237,0.0,0.81549,2.710027100271003,1.9554965484315463,Pass,Fail,Pass,Pass,
GHG,GreenTree Hospitality Group Ltd,Consumer Cyclical,Lodging,1.22,123883096,2.3712570761066547,2.0045960655737707,False,True,False,-0.15,0.3877008321999024,0.06654833224668716,0.84763,-0.3128205333333333,0.4615610001807206,Fail,Fail,Pass,Pass,
STG,Sunlands Technology Group,Consumer Defensive,Education & Training Services,3.57,47929376,4.070843734748393,2.8681011204481797,False,True,False,-0.027,0.8603271941395833,1.3971232648252425,0.08091,-0.33558938148148143,0.5078807229741362,Fail,Pass,Pass,Pass,
DSWL,"Deswell Industries, Inc.",Technology,Electronic Components,2.97,47327660,0.27894892754047,2.282828282828283,False,False,False,-0.055,0.2017896760834196,0.032372752400535325,0.71211,-0.6923077272727273,3.4332188046984227,Fail,Fail,Pass,Pass,
FOR,Forestar Group Inc,Real Estate,Real Estate - Development,24.64,1253980800,0.07416381494836284,1.4244724025974025,False,True,False,-0.03,0.21572700296735906,0.0722918721321233,0.62389,-2.5117226666666665,1.764054023663233,Fail,Fail,Pass,Pass,
FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,8.24,1743207552,0.1830476236945536,0.816747572815534,False,True,False,0.068,0.4887100281386076,0.04138189325330937,0.079730004,3.0294114705882347,1.9849776903493064,Fail,Fail,Pass,Pass,
ZUMZ,Zumiez Inc.,Consumer Cyclical,Apparel Retail,21.61,366714144,0.11565684251327922,0.9825543729754743,True,False,False,0.044,0.35792706160433474,0.023938290668545012,0.22707,6.296620454545455,2.8005952687001274,Pass,Pass,Pass,Pass,
SENEA,Seneca Foods Corp.,Consumer Defensive,Packaged Foods,160.92,1107298432,0.15217035907443605,0.6499937857320408,False,False,False,0.011,0.12574992228543488,0.10993514008808807,0.15361,11.26181,4.399593144237281,Fail,Pass,Pass,Pass,
SND,"Smart Sand, Inc.",Energy,Oil & Gas Equipment & Services,5.1,202530128,0.1605736406782896,1.2068627450980394,False,True,False,-0.058,0.11475891480616562,0.003913113585268323,0.34158,-29.310344827586203,2.5574956818196557,Fail,Fail,Pass (Pessimism),Pass,
TASK,"TaskUs, Inc.",Technology,Information Technology Services,6.94,628495040,0.11728811734138746,0.9553314121037463,True,False,True,0.141,0.3778354387278241,0.16913407934201583,0.24965,0.44745323404255327,2.922507509016881,Pass,Pass,Pass,Pass,
APWC,Asia Pacific Wire & Cable Corpo,Industrials,Electrical Equipment & Parts,1.33,54839168,0.49103589609528725,5.972932330827067,True,False,True,0.05,0.08050081086816432,0.07859188337932752,0.84112,1.9,2.7696720927061422,Pass,Pass,Pass,Pass,
