Symbol,Name,Price,Market Cap,Sector,Industry,Score,Status,Fail Codes,Rev Growth,Gross Margin,ROIC,Insider Own,PEG,Z-Score
FTS,Fortis Inc.,57.76,29307422720.0,Utilities,Unknown,20,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_GM_TREND,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.044,0.45596,0.05492890233946311,0.00206,5.293254772727273,0.7242812155043818
AGNCN,AGNC Investment Corp.,25.65,8809518080.0,Real Estate,Unknown,40,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_ROIC,FAIL_PS,FAIL_FLOAT,FAIL_INSIDER",5.461,1.0,0.0,0.0,0.18311664530305805,3.0
MD,"Pediatrix Medical Group, Inc.",19.86,1705524864.0,Healthcare,Unknown,60,Fail,"FAIL_GROWTH,FAIL_GM,FAIL_FLOAT,FAIL_INSIDER",-0.017,0.25796,0.17140606337686437,0.022149999,-6.021831176470588,2.0745362222808033
RHP,"Ryman Hospitality Properties, Inc.",92.67,5838768640.0,Real Estate,Unknown,30,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.124,0.34302,0.10910518973019799,0.03082,1.9823308064516127,1.2035094619988043
BTO,John Hancock Financial Opportunities Fund,33.76,669014336.0,Financial Services,Unknown,40,Fail,"FAIL_PRICE,FAIL_GROWTH,FAIL_ROIC,FAIL_PS,FAIL_FLOAT,FAIL_INSIDER",-0.016,1.0,0.0,0.00043000001,-5.977336875,3.0
PFAI,Pinnacle Food Group Limited,2.54,29718000.0,Consumer Defensive,Unknown,50,Fail,"FAIL_MCAP,FAIL_ROIC,FAIL_PS,FAIL_PEG,FAIL_INSIDER",0.289,0.52762,0.0,0.118599996,3.4602076124567476,4.838372100460161
FDX,FedEx Corporation,353.965,83519971328.0,Industrials,Unknown,30,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_FLOAT,FAIL_INSIDER",0.139,0.27618,0.07810531045742322,0.07559,1.4076897122302157,2.781713099963192
VZLA,Vizsla Silver Corp.,3.385,1167615872.0,Basic Materials,Unknown,40,Fail,"FAIL_GROWTH,FAIL_GM,FAIL_PS,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.0,0.0,,0.04186,100.0,109.60463355425138
INGN,"Inogen, Inc.",6.165,167887440.0,Healthcare,Unknown,60,Fail,"FAIL_GROWTH,FAIL_ROIC,FAIL_PEG,FAIL_INSIDER",0.02,0.44244,-0.2773256712931059,0.12420999,50.0,1.4989314026298688
AGYS,"Agilysys, Inc.",68.19,1916701440.0,Technology,Unknown,50,Fail,"FAIL_PRICE,FAIL_GROWTH,FAIL_ROIC,FAIL_PEG,FAIL_INSIDER",0.156,0.61665,0.10262525910438336,0.04513,4.085190384615385,8.219994803335881
IDA,"IDACORP, Inc.",140.73,7725940736.0,Utilities,Unknown,20,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_ROIC,FAIL_PS,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.018,0.35424998,0.07118826507445551,0.00495,13.251411666666668,1.3344534542395965
BKD,Brookdale Senior Living Inc.,14.515,3451976960.0,Healthcare,Unknown,40,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_FLOAT,FAIL_INSIDER",-0.04,0.2769,-0.005039380554293238,0.02764,-25.0,-0.14734899149819825
WWW,"Wolverine World Wide, Inc.",16.64,1363945728.0,Consumer Cyclical,Unknown,50,Fail,"FAIL_GROWTH,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.046,0.47307998,0.13309727469274585,0.021270001,3.1731502173913047,2.928159056164752
FTAI,FTAI Aviation Ltd.,243.89,25016596480.0,Industrials,Unknown,40,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_PS,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.327,0.40087003,0.20263173618681898,0.015,1.6249258409785932,5.493991934484565
GCT,GigaCloud Technology Inc.,43.18,1600110208.0,Technology,Unknown,60,Fail,"FAIL_PRICE,FAIL_GM,FAIL_GM_TREND,FAIL_INSIDER",0.226,0.23309,0.2389134050689934,0.118769996,0.532206017699115,3.6696926123756164
ONFO,"Onfolio Holdings, Inc.",0.6622,3882620.0,Communication Services,Unknown,70,Fail,"FAIL_MCAP,FAIL_ROIC,FAIL_PEG",0.363,0.6029,-0.39033964482522227,0.25778,2.7548209366391188,-2.59543405878686
VLY,Valley National Bancorp,11.795,6577311744.0,Financial Services,Unknown,50,Fail,"FAIL_MCAP,FAIL_GM,FAIL_PS,FAIL_FLOAT,FAIL_INSIDER",0.383,0.0,0.18600465651390968,0.01465,0.3049143080939948,3.0
BB,BlackBerry Limited,3.335,1968141952.0,Technology,Unknown,60,Fail,"FAIL_GROWTH,FAIL_ROIC,FAIL_FLOAT,FAIL_INSIDER",-0.013,0.74963,-0.02094770297601849,0.00278,-64.13461538461539,0.312384778988362
SYRE,"Spyre Therapeutics, Inc.",42.835,3364267776.0,Healthcare,Unknown,10,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.0,0.0,0.0,0.066989996,100.0,30.42189043335729
B,Barrick Mining Corporation,40.91,68948811776.0,Basic Materials,Unknown,50,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_PS,FAIL_FLOAT,FAIL_INSIDER",0.645,0.51256,0.29705819403200906,0.00836,0.2164722015503876,3.681156985371816
ATS,ATS Corporation,32.4199,3143130112.0,Industrials,Unknown,20,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.167,0.26048002,0.001623475847046896,0.00775,13.866509580838324,1.6090620565032683
DTSS,Datasea Inc.,0.92,9611382.0,Technology,Unknown,60,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_GM,FAIL_ROIC",-0.365,0.07368,-1.0320486896321264,0.42651,-2.73972602739726,0.24691066495517333
MYSE,"Myseum, Inc.",1.65,7036142.0,Technology,Unknown,50,Fail,"FAIL_MCAP,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_INSIDER",4.29,0.0,0.0,0.06874,0.2331002331002331,-9.37976005785885
KSPI,Joint Stock Company Kaspi.kz,72.63,14613682176.0,Technology,Unknown,60,Fail,"FAIL_MCAP,FAIL_PRICE,FAIL_PS,FAIL_FLOAT",0.52,0.70094,0.935998881886152,0.44024,0.12295165384615385,0.8978815773375102
GUTS,"Fractyl Health, Inc.",0.4348,66686168.0,Healthcare,Unknown,40,Fail,"FAIL_GROWTH,FAIL_ROIC,FAIL_PS,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.0,1.0,0.0,0.013660001,100.0,-7.155249597017661
VS,Versus Systems Inc.,1.09,5342829.0,Technology,Unknown,60,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_ROIC,FAIL_PEG",0.0,0.99245,0.0,0.64163,100.0,63.68635020520871
SOS,SOS Limited,1.3007,11593152.0,Financial Services,Unknown,30,Fail,"FAIL_MCAP,FAIL_GM,FAIL_GM_TREND,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.481,0.012669999,-0.10727333130551156,0.087349996,2.079002079002079,0.6796599450966311
LGHL,Lion Group Holding Ltd.,1.222,619640.0,Financial Services,Unknown,20,Fail,"FAIL_MCAP,FAIL_GROWTH,FAIL_GM,FAIL_GM_TREND,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.0,0.0,0.0,0.0,100.0,-6.1634603464841184
EM,Smart Share Global Limited,1.145,290370368.0,Consumer Cyclical,Unknown,40,Fail,"FAIL_GROWTH,FAIL_GM_TREND,FAIL_ROIC,FAIL_PEG,FAIL_FLOAT,FAIL_INSIDER",0.117,0.42421,-0.0072153549406575165,0.066750005,8.547008547008547,-1.7499775717196646
DSGN,"Design Therapeutics, Inc.",10.795,614923776.0,Healthcare,Unknown,50,Fail,"FAIL_GROWTH,FAIL_GM,FAIL_ROIC,FAIL_PS,FAIL_PEG",0.0,0.0,0.0,0.33354,100.0,35.97216419363213
