Ticker,Name,Sector,Industry,Price,Market Cap,FCF Yield,Book-to-Market Ratio,Anti-Empire Builder,Margin Erosion Danger,Operating Leverage,Rev Growth,Gross Margin,ROIC,Insider Own,PEG,Z-Score,8-Quarter Margin,ROIC Velocity,Cyclical Check,Insider Buying,Phase 2 Decision
REPX,"Riley Exploration Permian, Inc.",Energy,Oil & Gas E&P,39.54,868650624,0.09349443580207455,0.7385432473444614,True,True,False,-0.053,0.46491912852696565,0.20997729752147143,0.22378,-0.9803386792452832,2.307155207957988,Fail,Pass,Fail (Peak),Pass,
GCT,GigaCloud Technology Inc,Technology,Software - Infrastructure,44.545,1650692608,0.1107335182299429,0.2954315860365922,True,False,True,0.226,0.2330930299085896,0.2389134050689934,0.06375,0.5490299999999999,3.7120410621286375,Fail,Pass,Pass,Pass,
XCH,XCHG Limited,Industrials,Specialty Industrial Machinery,1.13,67180232,-0.11633221213049696,0.37256637168141593,,False,False,-0.308,0.5028697037176396,-0.8935642640246143,0.12124,-3.2467532467532467,0.829668069694261,Fail,,Pass,Pass,
CECO,CECO Environmental Corp.,Industrials,Pollution & Treatment Controls,64.24,2302411520,-0.0023809818324745007,0.13866749688667498,True,False,True,0.354,0.3476660713524738,0.12682810217869567,0.17391,1.3245906779661016,3.8994150958166145,Fail,Pass,Pass,Pass,
PTRN,Pattern Group Inc. - Series A,Technology,Software - Application,12.44,2471249408,0.031936881702229226,0.2647909967845659,False,False,True,0.403,0.4359490907782506,0.03568834253468344,0.69636,2.4813895781637716,7.299052048253117,Fail,Fail,Pass,Pass,
REI,"Ring Energy, Inc.",Energy,Oil & Gas E&P,1.35,282683392,-0.10233976533011178,2.982962962962963,False,True,False,-0.2,0.35128109339783864,-0.0011467478401982049,0.119490005,-5.0,0.49815966901107966,Fail,Fail,Pass (Pessimism),Pass,
DIBS,"1stdibs.com, Inc.",Communication Services,Internet Content & Information,5.49,199737344,-0.016016033536522846,0.46265938069216755,,False,False,0.009,0.7301718366436063,-0.17973190544135145,0.10342,111.11111111111113,0.4317871008581179,Pass,Pass,Pass,Pass,
AMR,"Alpha Metallurgical Resources, ",Basic Materials,Coking Coal,192.52,2462847744,0.007216442852912308,0.6268751298566383,False,True,False,-0.157,0.011664344504599947,-0.04992520517588308,0.24452999,-6.369426751592357,4.482588388401878,Fail,Fail,Pass,Pass,
MLP,"Maui Land & Pineapple Company, ",Real Estate,Real Estate Services,15.9,315913472,-0.00153206508394805,0.10528301886792452,,False,True,0.326,0.28803453947368424,-0.24392837346800517,0.66008,3.067484662576687,10.386999918817622,Pass,,Pass,Pass,
CBLL,"CeriBell, Inc.",Healthcare,Medical Devices,18.15,683188288,-0.06085438045448461,0.22831955922865016,,False,False,0.337,0.8788610309556157,-0.3757000350017501,0.13362001,2.9673590504451037,9.167245481726791,Fail,Pass,Pass,Pass,
AENT,Alliance Entertainment Holding ,Communication Services,Entertainment,6.92,352624992,-0.003907834190039486,0.33338150289017343,True,False,False,-0.063,0.140391788851893,0.15422111572709268,0.93953,-2.554448095238095,4.496704757231956,Pass,Fail,Pass,Pass,
LAW,"CS Disco, Inc.",Technology,Software - Application,3.35,212152192,-0.08479290188055186,0.6044776119402985,,False,False,0.113,0.7486435998954408,-0.42403636759864166,0.09215,8.849557522123893,0.8064388131625465,Pass,Pass,Pass,Pass,
ZUMZ,Zumiez Inc.,Consumer Cyclical,Apparel Retail,24.11,409138272,0.10366422039344195,0.8806719203649939,True,False,False,0.044,0.35792706160433474,0.023938290668545012,0.22648,7.025059090909092,2.8801688567908847,Pass,Pass,Pass,Pass,
NEXA,Nexa Resources S.A.,Basic Materials,Other Industrial Metals & Mining,11.85,1569397504,0.007069591975087021,0.6390717299578059,True,False,False,0.219,0.237469333506548,0.17883323909792467,0.66472,0.541095890410959,0.8518914083644538,Pass,Fail,Fail (Peak),Pass,
ITRN,Ituran Location and Control Ltd,Technology,Scientific & Technical Instruments,53.54,1065102272,0.05657954318963278,0.20481882704519985,True,False,False,0.128,0.49505322767207505,0.5261866060620404,0.26229,1.432470078125,7.913727747088181,Pass,Pass,Pass,Pass,
FLO,"Flowers Foods, Inc.",Consumer Defensive,Packaged Foods,8.06,1705127936,0.18713551825826163,0.8349875930521092,False,True,False,0.068,0.4887100281386076,0.04138189325330937,0.079730004,2.963235588235294,1.9770454671032973,Fail,Fail,Pass,Pass,
HLX,"Helix Energy Solutions Group, I",Energy,Oil & Gas Equipment & Services,9.56,1408150784,0.08550717818582701,1.1228033472803347,False,False,False,-0.059,0.12322199285467612,0.031032014681146695,0.06784,-7.7159,1.858895996860313,Fail,Fail,Pass (Pessimism),Pass,
GRND,Grindr Inc.,Technology,Software - Application,12.08,2236584448,0.05942185644670994,0.021026490066225166,,False,True,0.29,0.7441247743795153,0.3018859157939076,0.83185995,0.9687249310344829,4.375016457360576,Pass,Pass,Pass,Pass,
VITL,"Vital Farms, Inc.",Consumer Defensive,Farm Products,13.04,584154496,-0.08257233374096978,0.6013036809815951,False,False,True,0.287,0.3761725683526369,0.18800864727211034,0.17342,0.3155245644599303,4.8722298961336845,Pass,Fail,Pass,Pass,
SMWB,Similarweb Ltd.,Technology,Software - Application,2.33,202631824,0.06411135103832456,0.11502145922746781,False,False,False,0.109,0.7954635527246993,0.0,0.17177,9.174311926605505,-1.0477369422482983,Fail,Pass,Pass,Pass,
